year,mileage,engine_size,horsepower,doors,owners,price
2011,214672,3.5,261,5,3,15429
2017,157141,3.4,220,4,2,23000
2013,217403,3.5,248,4,5,14066
2011,423949,3.8,210,5,1,2500
2023,55739,2.6,220,4,1,42774
2015,165891,1.6,104,4,5,2500
2015,113972,2.9,252,4,4,31898
2019,71666,3.2,223,3,1,34001
2013,202906,3.2,226,4,3,21604
2015,129807,2.6,182,4,2,25448
2022,43725,1.2,114,5,2,25955
2024,9997,2.1,206,4,1,44412
2011,134387,3.8,202,5,4,22735
2019,142888,2.8,241,5,3,40714
2021,107462,2.6,206,4,1,38482
2011,218943,1.8,124,4,3,2500
2019,177200,2.1,144,5,2,19807
2023,40401,3.7,300,5,1,57208
2013,146460,3.0,196,4,3,12652
2023,80983,3.4,213,4,1,36555
2024,54911,2.4,215,4,1,42467
2025,30947,2.9,223,4,2,51847
2024,40370,1.7,125,4,1,34799
2017,109778,3.1,231,4,3,29642
2023,32257,2.3,156,3,1,35852
2016,199461,2.3,209,3,4,15329
2021,112450,2.9,241,4,2,44634
2018,61469,3.8,277,4,2,41683
2023,52566,1.2,130,4,1,37071
2017,106947,3.5,292,4,3,40183
2014,149162,1.9,159,4,4,14465
2025,19298,2.3,152,4,1,52701
2022,54001,1.1,127,4,1,32356
2011,229159,1.9,212,5,5,3054
2024,37296,2.5,167,4,2,37682
2014,183187,1.2,112,4,1,7346
2017,131028,2.5,203,4,1,32530
2019,90304,3.8,263,5,3,44041
2018,68662,1.3,102,4,3,24492
2021,61195,3.3,265,4,1,38867
2021,90778,2.2,234,4,1,46549
2021,101405,3.0,225,4,2,31588
2022,48712,1.8,131,3,1,38914
2018,113334,1.5,99,4,3,16400
2022,92065,1.5,144,3,1,37048
2024,27185,1.2,149,4,1,36316
2022,75601,1.6,155,4,2,40633
2010,190026,3.0,220,4,4,2500
2018,130947,3.6,238,4,3,29349
2016,111931,3.4,215,3,4,19857
2018,65911,3.1,246,4,3,27700
2017,87930,1.3,149,4,4,20744
2010,258894,1.9,121,4,5,2500
2021,75955,1.9,199,4,2,49548
2017,87179,1.7,163,5,3,22879
2017,162271,2.5,227,3,2,32088
2024,5000,2.6,164,4,1,47039
2020,91447,2.1,136,4,1,32240
2012,132229,2.1,167,4,2,10365
2010,188407,3.5,260,4,4,13450
2017,120972,3.4,287,4,4,36250
2012,160929,1.9,177,4,2,8780
2012,180445,3.7,252,4,3,17701
2010,300753,3.9,244,4,1,9693
2020,45701,2.0,196,4,1,41382
2014,224852,2.1,146,4,4,3045
2019,87136,2.5,233,4,3,34882
2016,190453,3.8,257,4,3,35769
2019,145838,3.6,293,4,1,46801
2018,24998,1.3,143,5,2,32501
2021,61757,2.2,173,5,2,35296
2016,165984,2.7,191,4,2,23650
2018,115708,2.5,184,4,4,30233
2017,157692,1.6,154,3,3,25345
2021,73679,3.6,255,4,1,36917
2011,229843,3.0,205,4,4,2500
2010,226754,3.5,243,4,5,13924
2025,11475,3.6,255,4,1,56253
2016,153180,3.2,178,5,5,14574
2016,162927,2.3,193,4,2,16530
2023,43113,2.8,185,4,1,41707
2017,124387,1.5,109,4,2,11147
2014,148610,3.0,178,4,4,24532
2012,249777,1.5,93,3,2,2500
2021,62816,3.1,192,4,3,37093
2017,146522,1.7,131,2,2,20578
2015,260260,1.4,181,4,2,17924
2020,89277,1.5,124,4,3,30269
2012,198300,1.0,114,4,3,6538
2010,333855,3.2,241,4,2,3513
2012,181477,3.2,234,4,5,12103
2014,70611,2.5,191,4,3,24078
2024,26086,1.5,108,4,1,36363
2023,5000,1.3,163,4,1,42457
2012,182564,1.1,161,4,1,11164
2010,249268,1.5,95,4,1,2500
2014,257984,3.7,233,5,5,6056
2019,118233,1.7,142,4,1,29966
2016,126574,2.1,146,4,1,19312
2024,42128,1.3,139,4,1,43963
2023,14793,1.7,130,5,1,41961
2016,144451,2.6,252,4,4,33715
2020,122460,2.8,239,4,2,43905
2018,59424,1.7,154,4,1,34345
2024,32191,1.2,147,4,2,47193
2024,35052,2.2,204,4,1,49394
2019,103404,1.7,134,4,2,25602
2019,114774,1.7,128,4,4,25903
2021,126707,3.9,271,5,1,47598
2022,67561,2.8,231,4,1,43834
2012,232568,2.7,207,4,5,9951
2024,27630,2.2,137,4,2,40694
2025,7505,2.3,161,3,1,42935
2016,179089,2.6,196,4,3,26608
2010,179223,3.1,224,4,3,10653
2013,188465,3.1,275,4,3,30803
2022,22188,1.5,103,4,2,25422
2025,21521,2.5,205,4,1,48801
2013,223558,2.2,213,4,2,14652
2023,35377,3.6,310,4,1,62266
2014,142361,2.9,204,4,4,19581
2016,144047,2.6,210,4,3,25105
2016,126530,1.3,141,5,1,13298
2022,52210,2.8,214,5,2,37094
2024,26115,1.4,130,4,1,42186
2020,108609,2.0,176,4,1,26794
2022,57149,1.4,69,4,4,23050
2013,239412,3.1,243,4,4,17306
2022,76409,1.6,146,4,2,30051
2025,12033,2.2,170,4,1,55363
2016,224922,3.7,310,4,4,34866
2020,70334,1.6,126,4,4,18874
2012,147833,2.5,182,4,3,7592
2015,80184,2.3,231,4,3,15771
2021,106137,1.1,95,4,1,23267
2011,266251,3.4,228,4,2,14037
2019,87617,1.2,117,3,1,22640
2022,73870,2.4,208,4,1,44469
2023,29027,2.7,209,3,1,39378
2018,206242,2.9,182,4,2,27810
2014,218909,3.1,212,4,5,11581
2015,173402,1.8,139,4,3,12727
2021,83811,1.0,108,4,3,26121
2021,81559,3.2,242,4,3,35628
2021,91521,2.6,208,4,2,33143
2021,58347,3.5,203,4,1,45714
2013,208198,3.5,274,4,2,23957
2023,79599,3.5,254,4,2,53273
2023,56481,2.5,227,5,1,47984
2020,151749,2.0,176,4,2,30435
2025,23500,3.4,270,4,2,49235
2019,69354,2.4,199,4,1,33777
2016,157149,1.6,177,4,2,20160
2021,76932,3.6,266,5,1,54587
2018,167918,3.6,251,4,2,36220
2016,78686,2.4,244,4,2,37811
2023,57185,1.2,143,3,3,37631
2010,222187,2.2,190,4,2,2500
2010,219564,3.4,210,3,5,4857
2018,80216,3.7,226,4,3,34653
2020,41282,1.6,150,4,1,28906
2023,46561,1.2,125,4,1,35180
2018,126875,3.6,238,4,1,34015
2013,140162,2.2,180,5,2,21548
2022,26013,2.6,238,4,2,37016
2018,108153,3.9,287,4,1,46134
2012,329270,1.2,92,4,4,2500
2016,137521,2.9,212,4,3,18287
2015,95118,1.2,101,4,2,18554
2017,114423,2.1,161,4,1,27880
2020,86919,3.4,232,4,2,44934
2018,21040,2.3,170,4,2,34476
2023,54124,4.0,244,5,2,57664
2014,179403,2.7,200,4,2,20471
2010,316022,2.0,151,4,2,2500
2012,332280,1.7,75,5,5,2500
2019,143744,2.1,222,2,1,38357
2021,70893,2.1,198,4,1,35553
2017,86654,1.2,112,4,1,17437
2024,56545,2.1,171,4,2,41300
2020,88644,2.4,158,5,1,22210
2015,167374,3.2,273,5,3,26755
2025,28067,3.0,267,3,1,48064
2025,5825,3.1,229,4,2,53872
2017,140552,1.0,136,4,1,23939
2018,112519,1.7,153,4,3,21256
2013,161828,3.0,187,4,3,21880
2010,216423,2.5,182,4,4,2500
2023,31585,1.0,113,5,2,39624
2010,201645,3.4,231,5,5,10169
2019,108123,3.3,231,4,3,26977
2013,170090,2.6,196,3,2,27055
2021,103792,1.2,119,4,1,28978
2023,17618,3.3,238,4,2,45689
2016,204585,2.8,182,4,2,13372
2011,306721,3.3,219,4,1,8032
2012,75708,3.3,204,3,4,15270
2010,211408,3.4,266,4,3,13679
2014,150718,2.6,145,4,2,12593
2010,154812,1.4,161,5,5,3638
2017,100275,3.0,255,4,1,33218
2010,172210,2.9,207,4,1,2618
2020,152524,3.2,166,4,2,29214
2010,317351,1.5,128,3,2,2500
2011,306513,1.6,141,5,5,2500
2011,277750,3.7,233,4,1,7609
2021,49354,3.2,218,4,1,43654
2015,129999,3.7,297,4,4,36058
2016,175265,3.3,253,4,2,23949
2014,102214,2.8,186,4,2,24966
2025,30085,3.0,180,4,1,47046
2010,218050,3.7,250,4,3,19557
2010,215024,2.7,198,4,4,3121
2012,257623,2.9,227,4,5,5300
2023,48408,1.5,124,4,1,40094
2011,206501,2.4,200,3,2,6956
2014,237854,3.1,274,4,3,17730
2021,59389,1.8,174,5,2,32877
2019,110942,1.6,142,5,3,23587
2025,18932,1.9,155,4,1,52173
2015,169066,1.7,140,4,2,5369
2025,6464,1.6,173,3,1,47438
2016,86922,2.3,166,4,4,23441
2013,254194,3.7,260,4,3,18612
2016,143475,2.5,194,4,2,29218
2020,79392,1.6,130,4,1,29183
2017,182376,1.2,87,4,4,9258
2020,77329,3.1,234,5,2,41506
2010,149687,2.1,169,4,3,6056
2024,20088,3.5,260,4,4,49889
2015,192584,3.0,207,4,3,21671
2017,89868,3.4,273,4,2,33365
2014,293757,1.8,132,5,2,2500
2013,71880,3.1,268,4,2,24989
2011,329765,1.8,110,4,3,2500
2015,186516,3.8,275,3,2,12707
2015,159008,2.9,226,4,4,23155
2020,53560,2.0,145,4,1,32619
2024,42066,1.8,165,4,2,34938
2025,9477,1.6,175,4,1,49582
2025,19059,3.1,170,3,1,49973
2010,251544,1.7,161,4,1,4959
2018,127315,2.8,147,4,3,11223
2021,73913,1.8,130,4,1,38343
2020,84107,3.0,261,4,1,39690
2015,185367,3.4,227,4,3,25023
2025,5000,3.3,207,3,1,55495
2022,43120,3.3,232,4,2,41724
2012,262979,1.6,195,4,1,12403
2013,195641,1.3,81,2,3,2500
2021,81720,3.1,199,3,1,29446
2020,85138,2.1,208,4,3,39974
2013,223414,2.3,228,4,1,13739
2012,179668,1.1,113,4,1,2500
2019,98865,1.8,123,4,1,24092
2012,220103,1.1,168,4,5,4770
2024,17701,3.6,293,4,1,58321
2012,235525,1.7,165,2,3,7173
2013,92367,2.7,183,4,4,9581
2025,27630,1.1,114,4,1,37786
2016,155103,3.0,216,4,3,23618
2013,199440,2.0,173,4,1,21351
2018,144698,3.7,295,4,2,37931
2010,369417,3.7,280,4,5,10190
2017,193188,2.0,138,4,4,15340
2025,5671,3.7,293,4,1,59283
2016,90730,4.0,283,4,1,35592
2011,183525,3.5,265,4,4,14758
2017,147675,3.5,284,5,4,34351
2010,267997,1.7,121,5,4,2500
2020,72788,2.7,203,4,3,36958
2021,88954,1.2,108,4,2,33029
2018,97817,1.3,87,4,2,14292
2018,99881,4.0,284,4,3,36620
2011,140060,2.0,228,4,4,9348
2016,81422,3.2,185,4,3,26106
2024,24613,3.4,241,4,1,51532
2023,25284,3.6,269,4,1,56991
2019,119883,4.0,278,4,3,35076
2012,155299,1.7,146,3,1,9105
2016,282193,1.1,83,4,4,5967
2021,84725,2.2,182,5,2,25714
2025,25360,1.4,113,4,1,50951
2019,94084,1.1,61,4,3,15927
2025,31300,2.1,200,4,2,39719
2018,115676,3.4,266,5,2,36636
2013,209558,2.7,205,3,4,11775
2021,133356,1.9,165,4,1,32565
2010,217064,3.0,247,4,3,15257
2011,300115,1.7,154,4,5,2500
2010,180938,1.0,133,4,2,2500
2025,36551,3.3,229,4,2,54456
2023,67146,2.9,247,4,1,48634
2021,62125,3.3,245,5,1,52189
2014,283387,1.1,120,4,4,2500
2014,218654,3.5,216,4,3,17859
2025,29419,2.9,222,4,1,53219
2020,100848,2.7,183,4,4,34637
2016,195711,2.9,199,5,3,16011
2018,134960,3.6,233,4,3,23855
2018,50271,2.8,182,4,2,31854
2012,158072,2.7,257,4,3,19897
2012,194035,4.0,308,4,2,30932
2025,10372,3.3,285,4,1,54412
2025,10868,2.3,151,4,1,51672
2012,207131,3.1,227,4,5,22187
2013,116051,2.2,144,4,3,9888
2017,135350,1.7,131,4,2,13425
2015,202824,2.8,186,4,1,17282
2017,158495,3.8,295,5,3,33726
2010,303240,3.8,254,4,5,8441
2017,165681,2.0,192,4,2,21273
2013,214340,2.6,213,4,1,23478
2020,91297,1.6,201,4,2,29511
2010,133815,4.0,238,4,2,7962
2017,133647,3.9,301,5,2,41621
2013,208299,2.9,243,4,2,8436
2015,176841,3.4,218,5,2,20944
2017,90005,3.1,251,4,2,47964
2013,133890,2.8,217,4,4,17006
2023,51697,1.2,115,5,1,29885
2012,204317,2.4,166,4,3,7377
2025,10106,3.0,202,5,1,50957
2023,56142,3.0,271,4,1,52692
2018,121284,2.1,171,5,2,28457
2012,288123,3.8,284,4,2,12858
2018,100815,1.5,118,4,1,30417
2022,54646,2.5,173,4,1,41129
2011,178659,3.1,253,4,5,16306
2025,5000,3.1,192,3,1,47728
2023,24984,2.9,204,4,1,52704
2011,242665,1.8,155,4,3,2500
2011,197771,1.5,140,4,4,2500
2015,211348,2.9,210,4,2,15700
2012,162590,2.8,219,4,2,11622
2025,9328,1.5,155,4,2,48102
2022,53552,3.1,244,4,1,45364
2018,188213,2.4,162,4,2,18838
2013,215466,3.0,213,3,4,9495
2010,311607,3.5,277,4,1,15388
2013,99182,1.5,160,5,2,10806
2010,237709,1.1,81,4,4,2500
2023,49818,3.3,245,4,1,50121
2014,182332,2.8,160,4,3,4287
2025,9922,3.1,227,4,1,47838
2013,163426,3.5,295,4,3,26484
2017,192847,3.4,218,4,2,23125
2025,23096,3.9,249,4,2,60231
2017,113805,2.6,217,4,2,33534
2016,131638,2.5,154,3,2,22493
2012,305982,2.2,160,4,3,10500
2010,342825,1.5,152,5,5,2500
2025,26756,2.7,188,4,1,52556
2010,208760,1.8,148,4,5,2500
2025,13920,3.8,283,5,1,70464
2021,51832,2.7,214,4,2,49704
2020,67528,2.8,216,4,1,39355
2012,156270,2.1,162,4,5,8487
2015,129865,1.2,130,5,4,17353
2016,142314,1.1,112,5,2,12864
2015,180208,2.3,193,4,2,16191
2023,54494,1.3,114,4,3,37131
2023,32607,2.8,204,4,1,46836
2015,213391,3.6,228,4,2,22971
2015,152326,3.6,252,4,1,24621
2022,57824,3.0,200,5,2,33168
2012,233695,1.6,115,4,2,3011
2015,103938,3.6,259,4,2,34090
2017,151416,3.7,264,4,4,29530
2020,96092,1.6,163,4,1,38365
2020,93019,3.2,220,4,2,34527
2011,257175,1.9,170,4,3,2500
2014,303924,3.4,256,5,3,16001
2023,46085,4.0,286,5,1,53575
2010,206040,1.1,95,4,4,2500
2021,54517,3.7,262,5,1,43029
2024,42753,2.9,224,4,1,56423
2025,5000,3.9,270,4,1,68336
2010,334800,2.4,135,3,3,2500
2014,266713,3.5,252,4,3,24112
2021,55452,1.2,176,5,2,30100
2022,58942,2.0,156,4,1,42606
2025,14620,1.2,103,4,1,45470
2012,178096,3.9,279,4,4,23586
2013,234629,3.5,255,4,2,19097
2012,221441,3.6,283,2,3,4966
2025,16287,3.8,233,4,1,52484
2010,359355,1.3,145,4,4,2500
2025,5596,2.2,191,4,1,46021
2010,208922,1.2,117,4,4,2500
2021,49651,1.6,151,4,1,33215
2021,91757,1.7,174,4,1,31770
2023,60782,2.4,209,4,1,40565
2022,60944,1.8,125,4,2,30133
2023,68029,1.3,147,4,1,43170
2014,159387,1.5,136,2,2,7923
2015,123335,1.4,134,5,2,12173
2012,120022,3.9,271,4,2,21899
2021,66350,3.3,233,4,1,45195
2018,131910,3.9,299,5,3,39632
2014,290862,2.3,179,4,2,2500
2017,108415,1.8,126,4,3,23459
2022,61935,3.4,232,4,4,48977
2010,221983,2.0,169,5,3,2500
2023,52984,1.9,190,5,1,38250
2014,326102,1.7,164,4,3,3809
2024,41378,1.4,111,4,1,34841
2012,166821,1.8,216,4,5,12141
2021,92568,2.1,177,5,2,25330
2010,288832,3.0,252,5,5,2500
2013,305833,1.2,117,4,1,8909
2024,27159,1.6,156,4,2,37961
2022,57773,3.4,263,4,1,54841
2014,207156,1.4,162,4,2,13527
2025,19844,2.0,191,4,1,41460
2016,192384,3.6,275,4,3,31467
2010,276587,1.5,130,3,4,2500
2025,15436,1.2,107,4,1,39051
2012,282569,2.5,201,5,4,6632
2025,20336,1.9,183,4,1,50866
2011,265087,2.7,198,4,4,7945
2018,111395,3.4,269,4,2,42504
2019,125607,1.4,168,5,1,29654
2024,46467,2.7,181,4,1,39644
2015,121606,2.5,172,4,3,16636
2019,123582,1.4,128,3,5,32553
2012,181881,2.9,222,3,2,18076
2017,147895,1.8,141,4,3,29172
2023,65955,2.5,226,4,2,51881
2017,141666,1.2,132,5,2,18883
2011,232611,2.4,188,4,5,5159
2025,5000,1.9,124,4,1,43650
2024,25448,3.5,215,4,1,42910
2015,185012,1.2,128,4,2,11846
2016,248775,2.3,128,4,1,18783
2011,221550,2.4,212,4,4,5082
2024,54285,3.2,227,4,2,50956
2020,103113,2.7,285,4,2,46797
2019,159698,3.0,278,3,1,34080
2011,200556,3.3,232,4,1,13004
2019,108362,3.6,250,4,3,32183
2010,275890,1.9,184,5,1,2500
2017,136349,2.6,241,4,2,24655
2010,206175,3.5,207,4,5,2500
2018,122266,4.0,230,4,2,39936
2020,99195,3.7,243,4,2,35932
2015,121666,2.1,185,4,4,19009
2025,5000,1.6,155,5,1,43427
2016,120887,2.5,219,4,4,29620
2022,102251,3.2,201,4,2,45874
2019,47825,2.5,135,4,2,32661
2016,99545,2.4,208,4,1,29118
2019,114022,3.5,227,4,2,34394
2012,319637,2.1,120,3,3,2500
2011,240145,3.6,257,2,5,19044
2018,87717,2.2,196,5,1,27234
2017,216153,2.0,162,4,3,20600
2022,29282,2.4,176,4,2,44930
2021,24467,3.3,233,4,1,43055
2019,145303,1.4,123,4,1,28127
2016,112377,1.6,109,4,4,16877
2018,85773,3.9,252,4,2,44966
2013,241115,1.5,151,5,1,5483
2022,75246,2.7,212,5,2,35198
2013,162981,2.7,208,5,3,12931
2010,150898,2.5,168,4,4,5559
2017,166418,2.9,210,4,2,26683
2025,20617,1.7,94,4,1,38312
2023,40229,2.7,208,2,1,37038
2025,29525,2.1,206,2,1,51999
2023,26857,3.0,183,4,2,52602
2021,44446,1.4,117,4,1,34014
2012,166117,2.7,212,4,5,14336
2016,159209,1.6,174,2,3,20482
2024,31676,1.8,143,4,1,43866
2021,51841,1.7,131,4,2,36185
2011,261382,1.5,88,4,5,2500
2011,131463,3.5,250,4,4,15027
2025,14959,1.9,211,4,1,48050
2016,140346,3.8,271,4,2,30829
2024,53800,3.9,269,4,1,56358
2015,160608,2.7,212,4,2,20770
2012,270152,1.4,132,4,3,2500
2018,151072,2.1,150,4,3,23718
2019,121335,3.4,263,4,2,42184
2024,35235,2.1,176,4,1,51097
2023,65799,1.3,127,4,1,36675
2022,68748,2.7,179,5,1,33456
2015,206547,3.5,280,4,5,22152
2019,107729,3.4,259,4,2,38865
2019,151259,1.5,124,4,3,12712
2015,129545,3.0,245,4,2,33244
2010,368154,1.7,136,4,5,2500
2013,190701,1.7,129,4,5,5670
2019,71268,3.6,234,5,2,43458
2015,177276,1.7,104,4,1,8647
2024,5000,1.8,166,4,2,46848
2015,213170,1.0,64,4,3,2543
2020,74326,3.6,222,5,3,36257
2021,64773,3.4,190,4,1,36270
2014,74079,2.9,212,4,2,31512
2010,218675,3.3,233,4,5,5575
2017,46308,1.5,129,4,3,24819
2014,86740,2.4,161,4,5,6114
2021,96179,2.1,141,4,1,37817
2021,82963,1.3,138,4,2,35632
2021,70776,2.5,179,4,3,35659
2014,121516,3.8,272,5,2,26571
2016,156476,1.1,93,4,2,13684
2013,204320,1.9,164,5,4,17545
2015,112791,1.6,176,4,4,9600
2022,94312,1.7,163,4,3,37690
2025,24109,3.7,248,4,1,52253
2013,175658,2.4,193,4,4,12451
2023,49682,2.4,181,4,1,42054
2024,39879,3.3,237,3,1,49263
2012,88913,1.5,129,4,2,9657
2016,150766,2.5,188,4,3,16122
2017,114462,2.3,187,4,2,30666
2013,139919,2.8,184,4,2,7980
2025,24436,4.0,250,4,1,59229
2022,92093,3.3,202,4,1,40346
2011,259438,2.2,136,5,3,2500
2021,60517,3.5,217,4,2,42302
2019,115587,1.5,141,4,2,18387
2023,57139,1.1,93,4,2,32282
2012,266806,1.6,156,3,3,2500
2010,236369,2.0,166,5,4,2500
2017,105719,2.5,143,4,2,18268
2024,17347,2.8,225,4,1,49385
2012,236922,3.7,279,4,4,18196
2021,95153,2.5,168,4,1,32002
2019,116837,2.5,203,5,1,32266
2016,203822,1.2,100,4,4,2500
2019,97515,1.1,118,4,2,26501
2014,235063,2.7,172,4,1,21934
2019,103597,2.3,137,4,2,38838
2014,284372,3.5,238,4,4,15574
2023,26296,1.5,134,4,2,41294
2016,236413,1.1,106,4,3,2500
2024,29842,2.3,152,5,2,48229
2018,93903,1.7,139,3,3,25602
2021,44073,1.1,122,4,1,29969
2014,169055,3.2,230,4,3,26090
2010,258147,1.3,131,5,3,2500
2019,122068,2.8,192,4,1,30256
2019,89702,1.8,183,4,1,34157
2010,251853,1.5,108,4,3,2500
2024,36192,2.1,183,4,1,50544
2011,311414,3.4,272,4,2,7984
2025,18801,2.2,188,4,2,43619
2023,63518,3.3,231,4,1,44013
2015,183331,1.4,119,4,2,14583
2025,19857,3.3,262,2,1,53941
2018,78263,1.7,113,5,2,15477
2017,132647,3.0,196,5,2,23175
2022,20230,2.7,194,4,3,41205
2014,206321,3.8,295,4,2,21446
2010,291652,2.2,185,2,5,2500
2025,23427,1.2,97,4,1,49292
2022,115928,1.1,108,4,1,25961
2016,98764,3.5,232,4,2,28392
2025,5000,2.6,180,4,1,48112
2024,31764,3.3,261,4,2,51540
2014,218852,1.7,114,4,4,7508
2015,241407,2.0,205,3,4,18328
2022,47647,1.1,136,4,1,34189
2016,193299,3.9,297,4,5,22962
2012,209097,3.0,208,4,1,20086
2021,62891,3.8,260,4,1,46411
2019,144045,1.8,118,4,3,28784
2025,17937,2.8,196,4,1,40778
2012,110594,3.0,232,5,3,18743
2014,256454,2.0,197,4,2,22208
2015,234866,3.5,220,4,1,19941
2018,105730,3.8,255,4,1,36672
2022,58453,3.7,255,5,1,49254
2023,45088,3.2,196,5,2,41006
2021,77827,1.8,169,3,2,32318
2014,136824,1.8,136,5,2,10663
2024,15762,3.9,265,4,1,53452
2010,233397,1.0,99,4,2,2500
2023,69575,3.1,206,4,3,44954
2023,54964,3.1,225,4,1,48869
2023,41932,2.9,209,5,2,48267
2013,248653,4.0,266,4,2,18841
2014,24804,1.9,141,5,1,15505
2021,104751,2.0,173,3,2,30359
2025,6139,1.2,162,4,2,45552
2019,96236,2.3,185,4,2,26398
2019,63902,1.8,179,4,2,29348
2025,5000,2.0,130,4,1,42152
2014,241341,3.5,251,2,2,29495
2016,143180,3.8,237,5,3,14110
2013,224532,1.6,106,3,4,2500
2010,246275,2.1,152,4,4,6213
2023,63801,3.8,294,2,2,53077
2023,46923,1.2,145,4,2,40984
2014,112691,1.3,133,5,5,9383
2016,188655,1.5,99,4,2,8363
2019,86285,2.8,204,4,1,24979
2019,62125,1.5,145,2,1,29504
2015,155847,3.9,274,4,2,25887
2014,259646,2.3,135,4,1,5409
2013,240236,2.5,170,4,4,5294
2011,201471,1.7,147,3,1,12531
2013,180580,2.4,200,4,5,22606
2024,12666,3.0,165,4,2,45882
2019,147455,3.3,232,4,2,32133
2019,111525,3.3,240,4,1,32504
2012,224885,2.7,225,4,2,15894
2019,132372,3.7,276,4,2,47466
2025,14596,3.5,262,4,1,56820
2010,216816,3.3,217,5,4,2500
2017,141572,1.2,73,4,2,16009
2014,179400,1.0,100,4,4,8961
2022,62334,1.6,168,5,2,29259
2013,243788,3.0,255,4,2,19099
2025,5000,2.2,194,3,2,50766
2017,175063,2.2,187,4,3,21688
2025,13879,3.7,268,4,1,55157
2016,160243,3.7,245,4,3,31866
2011,79402,3.7,255,4,3,18817
2010,290438,1.9,201,5,2,2500
2021,90974,3.1,202,4,1,30214
2025,23255,1.8,194,4,3,52827
2025,5000,1.6,135,4,1,47365
2020,137689,1.6,176,4,3,29260
2013,198088,2.0,130,4,5,2500
2017,167987,2.3,196,4,1,23300
2021,68028,3.5,229,3,2,36553
2011,257356,1.4,97,4,5,2500
2012,150018,3.2,236,5,3,7109
2021,57679,2.6,223,5,1,38367
2010,383842,1.9,138,3,2,2500
2010,220829,2.5,155,3,4,2500
2022,62285,1.9,157,4,2,36243
2012,265223,2.8,207,5,1,14327
2020,93361,2.3,195,4,3,39365
2014,195530,1.5,161,4,3,16008
2021,78079,1.3,125,4,1,33199
2012,359129,2.6,244,4,4,7113
2010,225907,3.7,264,4,5,5831
2010,228855,2.0,156,4,5,2500
2017,175641,3.2,191,4,3,30830
